(stop - start) * cost.,(توقف - بدء) * التكلفة.
$,$
A brief description of the box,وصف موجز للمربع
About,حول
Accept,قبول
Accept Bribe?,تقبل الرشوة؟
Accept this bribe?,تقبل هذه الرشوة؟
Accepted,وافقت
Accepted / In Jail,قبلت / في السجن
Account Locked!,الحساب مغلق!
Account Password,كلمة مرور الحساب
Active Bots,السير النشطة
Add,إضافة
Add,إضافة
add,إضافة
Add a Category for Boxes.,إضافة فئة للصناديق.
Add Flags,أضف أعلام
Add Hint,إضافة تلميح
Add IP address,إضافة عنوان IP
Add IP Address,إضافة عنوان IP
add some,اضف بعض
Add Source Code,أضف كود المصدر
Add Source Code to Market,أضف كود المصدر إلى السوق
Add to Market,أضف إلى السوق
Address,عنوان
Admin,مشرف
Admin Home,الادارية الرئيسية
Admin Message,رسالة المسؤول
Admin Notes,ملاحظات المسؤول
Administrator Panel,لوحة المسؤول
Admins,مدراء
All Notifications,جميع الإخطارات
and logos in export.,والشعارات في التصدير.
and so on,وما إلى ذلك وهلم جرا
Apply penalty on attempt,تطبق عقوبة على المحاولة
Are you a Cylon?,هل أنت سيلون؟
Are You Elite,هل أنت النخبة
Are you sure you want to buy this code?,هل أنت متأكد أنك تريد شراء هذا الكود؟
Are you sure you want to delete this box?,هل أنت متأكد أنك تريد حذف هذا المربع؟
Are you sure you want to delete this category?,هل أنت متأكد أنك تريد حذف هذه الفئة؟
Are you sure you want to delete this corporation?,هل أنت متأكد أنك تريد حذف هذه الشركة؟
Are you sure you want to delete this file?,هل أنت متأكد أنك تريد حذف هذا الملف؟
Are you sure you want to delete this flag?,هل أنت متأكد أنك تريد حذف هذه العلامة؟
Are you sure you want to delete this game level?,هل أنت متأكد أنك تريد حذف مستوى اللعبة هذا؟
Are you sure you want to delete this hint?,هل أنت متأكد من أنك تريد حذف هذا التلميح؟
Are you sure you want to delete this IP address?,هل أنت متأكد من أنك تريد حذف عنوان IP هذا؟
Are you sure you want to delete this source code?,هل أنت متأكد من أنك تريد حذف الكود المصدري هذا؟
Are you sure you want to delete this user?,هل أنت متأكد أنك تريد حذف هذا المستخدم؟
Are you sure you want to delete?,هل أنت متأكد أنك تريد حذف؟
Arrest Player,القبض على لاعب
attempt,محاولة
attempt and continue until the,محاولة والاستمرار حتى
Attempts,محاولات
Authenticate,مصادقة
Authentication Failure,فشل المصادقة
Authentication Required,يستلزم التوثيق
Automatic Ban,الحظر التلقائي
Avatar,الصورة الرمزية
Backup/Restore,اسنرجاع البيانات
Ban IP Address,حظر عنوان IP
Bank Account,حساب البنك
Bank Account Balance,رصيد الحساب البنكي
Bank Hash Algorithm,خوارزمية بنك التجزئة
Bank Password,كلمة مرور البنك
Bank Password Hash,كلمة مرور البنك
Bank Password Length,طول كلمة مرور البنك
Banking System,النظام المصرفي
Banned IPs,عناوين IP المحظورة
BEGIN SECURE COMMUNIQUE,بداية آمنة بيان
Black Market,السوق السوداء
Bonus reward for those that complete the level.,مكافأة مكافأة لأولئك الذين يكملون المستوى.
Bot,بوت
Bot added,وأضاف بوت
Bot Reward,بوت مكافأة
Botnet,الروبوتات
Botnet Command & Control,Botnet القيادة والسيطرة
Botnet Monitor,مراقب الشبكة
Botnet Scored,سجل Botnet
Botnets,إقناعا
Bots,السير
Box,صندوق
Box Difficulty,مربع الصعوبة
Box Hints,تلميحات مربع
Box Hints Taken,تلميحات مربع اتخذت
Box Name,اسم الصندوق
Boxes,مربعات
Bribe,رشوة
Bribe Amount,رشوة المبلغ
Bribe History,تاريخ الرشوة
Bribe Pending,رشوة معلقة
Bribe Price,رشوة السعر
Bribes in Progress,الرشاوى في التقدم
Buy,يشترى
Buy Source Code,شراء شفرة المصدر
Buy Upgrade,شراء ترقية
bytes,بايت
Capture Message,التقاط رسالة
Capture Rate,معدل التقاط
Captures,يلتقط
Case-Sensitive,حساسية الموضوع
Cash Stolen,النقدية المسروقة
Categories,الاقسام
Category,الفئة
Category box belongs too?,مربع الفئة ينتمي أيضا؟
Category Name,اسم التصنيف
Change,يتغيرون
Change Avatar,تغيير الصورة الرمزية
Characters,الشخصيات
Charts,الرسوم البيانية
Chat,دردشة
Checksum,اختباري
Choose,أختر
Choose a name for your new team!,اختر اسمًا لفريقك الجديد!
Choose Avatar,اختيار الصورة الرمزية
Classic,كلاسيكي
Clear,واضح
Clear all notifications and game history,مسح جميع الإخطارات وتاريخ اللعبة
Clear all team / player flag captures,مسح جميع يلتقط علم الفريق / اللاعب
Clear all team pastebin and file shares,قم بإلغاء تحديد كافة المشاركات السابقة في ملف المشاركة
Clear market items or source code purchases,مسح عناصر السوق أو مشتريات الكود المصدري
Click here to login,انقر هنا لتسجيل الدخول
Close,أغلق
Command & Control,القيادة والسيطرة
Complete,اكتمال
Complete Bribe,رشوة كاملة
Complete this bribe?,أكمل هذه الرشوة؟
Completed,منجز
Completed Bribes,الرشاوى المكتملة
Completion Message,رسالة الإنجاز
completion of Level,الانتهاء من المستوى
Completion Reward,مكافأة الانتهاء
Configuration,ترتيب
Confirm,تؤكد
Confirm Account Password,تأكيد كلمة مرور الحساب
Confirm New Password,تأكيد كلمة المرور الجديدة
Confirm Password,تأكيد كلمة المرور
Content,يحتوى
Content Missing,محتوى مفقود
Corporation,مؤسسة
Corporation box belongs too?,صندوق شركة ينتمي أيضا؟
Corporation Name,اسم الشركة
Corporations,الشركات
Cost,كلفة
Cost to open this level and see flags,تكلفة لفتح هذا المستوى ورؤية الأعلام
Cracked by,متصدع من قبل
Create,خلق
Create Box,إنشاء صندوق
Create Category,إنشاء فئة
Create Corporation,إنشاء شركة
Create Datetime Flag,إنشاء علم Datetime
Create File Flag,إنشاء ملف العلم
Create Flag,إنشاء العلم
Create Game Level,إنشاء مستوى اللعبة
