(stop - start) * cost.,(parada - inici) * cost.
$,$
A brief description of the box,Una breu descripció de la caixa.
About,Sobre
Accept,Acceptar
Accept Bribe?,Acceptar suborn?
Accept this bribe?,Acceptar aquest suborn?
Accepted,Acceptat
Accepted / In Jail,Acceptat / En la presó
Account Locked!,Compte bloquejat!
Account Password,Contrasenya de compte
Active Bots,Bots actius
Add,Afegir
Add,Afegir
add,afegir
Add a Category for Boxes.,Agregar una categoria per a les Caixes.
Add Flags,Agregar banderes
Add Hint,Afegir pista
Add IP address,Agregar adreça IP
Add IP Address,Agregar adreça IP
add some,agrega alguna cosa
Add Source Code,Agregar codi font
Add Source Code to Market,Agregar codi font al mercat
Add to Market,Afegir al mercat
Address,Direcció
Admin,Administració
Admin Home,Inici de l'administrador
Admin Message,Missatge d'administrador
Admin Notes,Notes d'administrador
Administrator Panel,Panell d'administrador
Admins,Administradors
All Notifications,Totes les notificacions
and logos in export.,i logotips en exportació.
and so on,i així
Apply penalty on attempt,Aplicar penalització en intentar
Are you a Cylon?,Eres un Cylon?
Are You Elite,Eres Èlit?
Are you sure you want to buy this code?,Estàs segur que vols comprar aquest codi?
Are you sure you want to delete this box?,Estàs segur que desitges eliminar aquesta Caixa?
Are you sure you want to delete this category?,Estàs segur que desitges eliminar aquesta categoria?
Are you sure you want to delete this corporation?,Estàs segur que desitges eliminar aquesta corporació?
Are you sure you want to delete this file?,Estàs segur que desitges eliminar aquest arxiu?
Are you sure you want to delete this flag?,Estàs segur que desitges eliminar aquesta bandera?
Are you sure you want to delete this game level?,Estàs segur que desitges eliminar aquest nivell de joc?
Are you sure you want to delete this hint?,Estàs segur que desitges eliminar aquesta pista?
Are you sure you want to delete this IP address?,Està segur que desitja eliminar aquesta adreça IP?
Are you sure you want to delete this source code?,Estàs segur que desitges eliminar aquest codi font?
Are you sure you want to delete this user?,Estàs segur que desitges eliminar a aquest usuari?
Are you sure you want to delete?,Estàs segur que vols esborrar-ho?
Arrest Player,Jugador d'arrest
attempt,intent
attempt and continue until the,intente i continue fins que
Attempts,Intents
Authenticate,Autenticar
Authentication Failure,Fallada d'autentificació
Authentication Required,Autenticació requerida
Automatic Ban,Prohibició automàtica
Avatar,Avatar
Backup/Restore,Còpia de seguretat de restauració
Ban IP Address,Prohibir adreça IP
Bank Account,Compte bancari
Bank Account Balance,Saldo de compte bancari
Bank Hash Algorithm,Algorisme d'hash bancari
Bank Password,Contrasenya bancària
Bank Password Hash,Hash de contrasenya de banc
Bank Password Length,Longitud de contrasenya del banc
Banking System,Sistema bancari
Banned IPs,IPs prohibides
BEGIN SECURE COMMUNIQUE,COMENCE COMUNICAT SEGUR
Black Market,Mercat negre
Bonus reward for those that complete the level.,Recompensa addicional per a aquells que completen el nivell.
Bot,Larva del moscardó
Bot added,Larva del moscardó afegit
Bot Reward,Recompensa Larva del moscardó
Botnet,Botnet
Botnet Command & Control,Botnet Command & Control
Botnet Monitor,Monitor de xarxa de zombis
Botnet Scored,Botnet va anotar
