(stop - start) * cost.,(Stop - Start) * Kosten.
$,$
A brief description of the box,Eine kurze Beschreibung der Box
About,Über
Accept,Akzeptieren
Accept Bribe?,Bestechung annehmen?
Accept this bribe?,Diese Bestechung annehmen?
Accepted,Akzeptiert
Accepted / In Jail,Akzeptiert / Im Gefängnis
Access,Zugriff
Account Locked!,Konto gesperrt!
Account Password,Konto Passwort
Active Bots,Aktive Bots
Add,Hinzufügen
Add,Hinzufügen
add,hinzufügen
Add a Category for Boxes.,Fügen Sie eine Kategorie für Boxen hinzu.
Add Flags,Flaggen hinzufügen
Add Hint,Hinweis hinzufügen
Add IP address,IP-Adresse hinzufügen
Add IP Address,IP-Adresse hinzufügen
add some,hinzufügen einiger
Add Source Code,Quellcode hinzufügen
Add Source Code to Market,Quellcode zum Markt hinzufügen
Add to Market,Zum Markt hinzufügen
Address,Adresse
Admin,Administrator
Admin Home,Admin-Startseite
Admin Message,Admin-Nachricht
Admin Notes,Admin-Hinweise
Administrator Panel,Administrator Panel
Admins,Admins
All Notifications,Alle Benachrichtigungen
"Allows your team access to the Source Code Black Market where you can purchase leaked source code for certain target boxes.","Erlaubt ihrem Team Zugriff auf den Quellcode-Schwarzmarkt, welcher es ihnen erlaubt durchgesickerte Quellcodes für bestimmtes Ziele zu kaufen."
Allows your team to upgrade their password hashes to more secure algorithms such as SHA1, and SHA256.,Erlaubt ihrem Team ihre Passwort-Hashes auf einen sichereren Algorithmus wie z.B. SHA1 und SHA256 zu aktualiseren.
and logos in export.,und Logos im Export.
and so on,und so weiter
Apply penalty on attempt,Bestrafung beim Versuch
Are you a Cylon?,Bist du ein Zylon?
Are You Elite,Bist du Elite?
Are you sure you want to buy this code?,Möchten Sie diesen Code wirklich kaufen?
Are you sure you want to delete this box?,Möchten Sie diese Box wirklich löschen?
Are you sure you want to delete this category?,Möchten Sie diese Kategorie wirklich löschen?
Are you sure you want to delete this corporation?,Möchten Sie diese Firma wirklich löschen?
Are you sure you want to delete this file?,Möchten Sie diese Datei wirklich löschen?
Are you sure you want to delete this flag?,Möchten Sie diese Flagge wirklich löschen?
Are you sure you want to delete this game level?,"Sind Sie sicher, dass Sie diese Spielstufe löschen möchten?"
Are you sure you want to delete this hint?,Möchten Sie diesen Hinweis wirklich löschen?
Are you sure you want to delete this IP address?,Möchten Sie diese IP-Adresse wirklich löschen?
Are you sure you want to delete this source code?,Möchten Sie diesen Quellcode wirklich löschen?
