(stop - start) * cost.,(parada - inicio) * costo.
$,$
A brief description of the box,Una breve descripción de la caja.
About,Acerca de
Accept,Aceptar
Accept Bribe?,Aceptar soborno?
Accept this bribe?,¿Aceptar este soborno?
Accepted,Aceptado
Accepted / In Jail,Aceptado / En la cárcel
Account Locked!,¡Cuenta bloqueada!
Account Password,Contraseña de la cuenta
Active Bots,Bots activos
Add,Añadir
Add,Añadir
add,añadir
Add a Category for Boxes.,Agregar una categoría para las cajas.
Add Flags,Agregar banderas
Add Hint,Añadir pista
Add IP address,Agregar dirección IP
Add IP Address,Agregar dirección IP
add some,agrega algo
Add Source Code,Agregar código fuente
Add Source Code to Market,Agregar código fuente al mercado
Add to Market,Añadir al mercado
Address,Dirección
Admin,Administración
Admin Home,Inicio del administrador
Admin Message,Mensaje de administrador
Admin Notes,Notas de administrador
Administrator Panel,Panel de administrador
Admins,Administradores
All Notifications,Todas las notificaciones
and logos in export.,y logotipos en exportación.
and so on,y así
Apply penalty on attempt,Aplicar penalización al intentar
Are you a Cylon?,¿Eres un cylon?
Are You Elite,¿Eres Élite?
Are you sure you want to buy this code?,¿Estás seguro de que quieres comprar este código?
Are you sure you want to delete this box?,¿Estás seguro de que deseas eliminar esta caja?
Are you sure you want to delete this category?,¿Estás seguro de que deseas eliminar esta categoría?
Are you sure you want to delete this corporation?,¿Estás seguro de que deseas eliminar esta corporación?
Are you sure you want to delete this file?,¿Estás seguro de que deseas eliminar este archivo?
Are you sure you want to delete this flag?,¿Estás seguro de que deseas eliminar esta bandera?
Are you sure you want to delete this game level?,¿Estás seguro de que deseas eliminar este nivel de juego?
Are you sure you want to delete this hint?,¿Estás seguro de que deseas eliminar esta pista?
Are you sure you want to delete this IP address?,¿Está seguro de que desea eliminar esta dirección IP?
Are you sure you want to delete this source code?,¿Estás seguro de que deseas eliminar este código fuente?
Are you sure you want to delete this user?,¿Estás seguro de que deseas eliminar a este usuario?
Are you sure you want to delete?,¿Estas seguro que quieres borrarlo?
Arrest Player,Jugador de arresto
attempt,intento
attempt and continue until the,intente y continúe hasta que
Attempts,Intentos
Authenticate,Autenticar
Authentication Failure,Fallo de autentificacion
Authentication Required,Autenticacion requerida
Automatic Ban,Expulsión automática
Avatar,Avatar
Backup/Restore,Copia de seguridad y restauración
Ban IP Address,Prohibir dirección IP
Bank Account,Cuenta bancaria
Bank Account Balance,Saldo de cuenta bancaria
Bank Hash Algorithm,Algoritmo de hash bancario
Bank Password,Contraseña bancaria
Bank Password Hash,Hash de contraseña de banco
Bank Password Length,Longitud de contraseña del banco
Banking System,Sistema bancario
Banned IPs,IPs prohibidas
BEGIN SECURE COMMUNIQUE,COMIENCE COMUNICADO SEGURO
Black Market,Mercado negro
Bonus reward for those that complete the level.,Recompensa adicional para aquellos que completen el nivel.
Bot,Bot
Bot added,Bot añadido
Bot Reward,Recompensa por el Bot
Botnet,Botnet
Botnet Command & Control,Botnet Command & Control
Botnet Monitor,Monitor de botnet
Botnet Scored,Botnet anotó
Botnets,Botnets
Bots,Bots
Box,Caja
Box Difficulty,Dificultad de la caja
Box Hints,Pistas en la caja
Box Hints Taken,Pistas consultadas en la caja
Box Name,Nombre de caja
Boxes,Cajas
Bribe,Soborno
Bribe Amount,Cantidad del soborno
Bribe History,Historia del soborno
Bribe Pending,Soborno pendiente
Bribe Price,Precio del soborno
Bribes in Progress,Sobornos en curso
Buy,Comprar
Buy Source Code,Comprar código fuente
Buy Upgrade,Comprar actualización
bytes,bytes
Capture Message,Capturar mensaje
Capture Rate,Tasa de captura
Captures,Capturas
Case-Sensitive,Distingue mayúsculas y minúsculas
Cash Stolen,Dinero en efectivo robado
Categories,Categorías
Category,Categoría
