(stop - start) * cost.,(parada - inicio) * costo.
$,$
About,Acerca de
Accept,Aceptar
Accept Bribe?,Aceptar soborno?
Accept this bribe?,¿Aceptar este soborno?
Accepted,Aceptado
Accepted / In Jail,Aceptado / En la cárcel
Account Locked!,¡Cuenta bloqueada!
Account Password,Contraseña de cuenta
Active Bots,Bots activos
add some,agrega algo
Address,Dirección
Admin Home,Inicio del administrador
Administrator Panel,Panel de administrador
Admins,Administradores
All Notifications,Todas las notificaciones
and so on,y así
Apply penalty on attempt,Aplicar penalización al intentar
Are you a Cylon?,¿Eres un cylon?
Are You Elite,¿Eres élite?
Are you sure you want to buy this code?,¿Estás seguro de que quieres comprar este código?
Are you sure you want to delete this category?,¿Estás seguro de que deseas eliminar esta categoría?
Are you sure you want to delete this file?,¿Estás seguro de que deseas eliminar este archivo?
Are you sure you want to delete this game level?,¿Estás seguro de que deseas eliminar este nivel de juego?
Arrest Player,Jugador de arresto
attempt,intento
attempt and continue until the,intente y continúe hasta que
Attempts,Intentos
Authenticate,Autenticar
Authentication Failure,Fallo de autentificacion
Authentication Required,Autenticacion requerida
Avatar,Avatar
Backup/Restore,Copia de seguridad de restauracion
Ban IP Address,Prohibir dirección IP
Bank Account,Cuenta bancaria
Bank Account Balance,Saldo de cuenta bancaria
Bank Password,Contraseña bancaria
Bank Password Length,Longitud de contraseña del banco
Banking System,Sistema bancario
Banned IPs,IPs prohibidas
BEGIN SECURE COMMUNIQUE,COMIENCE COMUNICADO SEGURO
Black Market,Mercado negro
Bot,Larva del moscardón
Bot Reward,Recompensa Bot
Botnet,Botnet
Botnet Command & Control,Botnet Command & Control
Botnet Monitor,Monitor de botnet
Botnets,Botnets
Bots,Bots
Box,Caja
Box Hints Taken,Sugerencias de caja tomadas
Box Name,Nombre de caja
Boxes,Cajas
Bribe,Soborno
Bribe Amount,Cantidad de soborno
Bribe History,Historia del soborno
Bribe Pending,Soborno pendiente
Bribe Price,Precio de soborno
Bribes in Progress,Sobornos en curso
Buy,Comprar
Buy Source Code,Comprar código fuente
Buy Upgrade,Comprar actualización
bytes,bytes
Capture Message,Capturar mensaje
Capture Rate,Tasa de captura
Captures,Capturas
Cash Stolen,Dinero en efectivo robado
Categories,Categorias
Category Name,nombre de la categoría
Change,Cambio
Charts,Gráficos
Chat,Charla
Checksum,Suma de comprobación
Clear,Claro
Clear all notifications and game history,Borrar todas las notificaciones y el historial del juego
Clear all team / player flag captures,Borrar todas las capturas de la bandera del equipo / jugador
Clear all team pastebin and file shares,Borrar todos los recursos compartidos de archivos y pasteles del equipo
Clear market items or source code purchases,Borrar artículos del mercado o compras de código fuente
Click here to login,Haga clic aquí para ingresar
Close,Cerca
Command & Control,Comando y control
Complete,Completar
Complete Bribe,Soborno completo
Complete this bribe?,¿Completar este soborno?
Completed,Terminado
Completed Bribes,Sobornos completados
completion of Level,finalización de nivel
Configuration,Configuración
Confirm,Confirmar
Confirm Account Password,Confirmar contraseña de cuenta
Confirm New Password,Confirmar nueva contraseña
Confirm Password,Confirmar contraseña
Content,Contenido
Content Missing,Contenido perdido
Corporations,Corporaciones
Cost,Costo
Cracked by,Agrietado por
Create,Crear
Create Message,Crear un mensaje
Create New Paste,Crear nueva pasta
Create Notification,Crear notificación
Create RegToken,Crear RegToken
Created,Creado
Current algorithm,Algoritmo actual
Current Bank Account Password,Contraseña de la cuenta bancaria actual
Current Bank Password,Contraseña bancaria actual
Current Level,Nivel actual
Current Level,Nivel actual
CyberChef,CyberChef
Data Points,Puntos de datos
Date,Fecha
Datetime Flag,Indicador de fecha y hora
DEBUG,DEPURAR
Decline,Disminución
Decline Bribe?,¿Rechazar el soborno?
