(stop - start) * cost.,(fin - début) * coût.
$,$
A brief description of the box,Une brève description de la boîte
About,À propos
Accept,Acceptez
Accept Bribe?,Accepter un pot-de-vin ?
Accept this bribe?,Accepter ce pot-de-vin ?
Accepted,Accepté
Accepted / In Jail,Accepté / En prison
Account Locked!,Compte bloqué !
Account Password,Mot de passe du compte
Active Bots,Bots Actifs
Add,Ajouter
Add,Ajouter
add,ajouter
Add a Category for Boxes.,Ajouter une catégorie pour les boîtes.
Add Flags,Ajouter des drapeaux
Add Hint,Ajouter un indice
Add IP address,Ajouter une adresse IP
Add IP Address,Ajouter une adresse IP
add some,Ajoute-en
Add Source Code,Ajouter un code source
Add Source Code to Market,Ajouter le code source au marché
Add to Market,Ajouter au marché
Address,Adresse
Admin,Admin
Admin Home,Admin Accueil
Admin Message,Message administrateur
Admin Notes,Notes d'administration
Administrator Panel,Panneau d'administration
Admins,Les admins
All Notifications,Toutes les notifications
and logos in export.,et logos en exportation.
and so on,etc
Apply penalty on attempt,Appliquer une pénalité lors d'une tentative
Are you a Cylon?,Êtes-vous un Cylon ?
Are You Elite,Êtes-vous élite
Are you sure you want to buy this code?,Êtes-vous sûr de vouloir acheter ce code ?
Are you sure you want to delete this box?,Êtes-vous sûr de vouloir supprimer cette case ?
Are you sure you want to delete this category?,Êtes-vous sûr de vouloir supprimer cette catégorie ?
Are you sure you want to delete this corporation?,Êtes-vous sûr de vouloir supprimer cette société ?
Are you sure you want to delete this file?,Êtes-vous sûr de vouloir supprimer ce fichier ?
Are you sure you want to delete this flag?,Êtes-vous sûr de vouloir supprimer ce drapeau ?
Are you sure you want to delete this game level?,Êtes-vous sûr de vouloir supprimer ce niveau de jeu ?
Are you sure you want to delete this hint?,Êtes-vous sûr de vouloir supprimer cet indice ?
Are you sure you want to delete this IP address?,Êtes-vous sûr de vouloir supprimer cette adresse IP ?
Are you sure you want to delete this source code?,Êtes-vous sûr de vouloir supprimer ce code source ?
Are you sure you want to delete this user?,Êtes-vous sûr de vouloir supprimer cet utilisateur ?
Are you sure you want to delete?,Etes-vous sûr que vous voulez supprimer ?
Arrest Player,Arrêter un joueur
attempt,tentative
attempt and continue until the,essayer et continuer jusqu'au
Attempts,Tentatives
Authenticate,Authentifier
Authentication Failure,Échec de l'authentification
Authentication Required,Identification requise
Automatic Ban,Bannissement automatique
Avatar,Avatar
Backup/Restore,Restauration de sauvegarde
Ban IP Address,Interdire l'adresse IP
Bank Account,Compte bancaire
Bank Account Balance,Solde du compte bancaire
Bank Hash Algorithm,Algorithme de hachage bancaire
Bank Password,Mot de passe bancaire
Bank Password Hash,Hachage du mot de passe bancaire
Bank Password Length,Longueur du mot de passe bancaire
Banking System,Système bancaire
Banned IPs,IP bannies
BEGIN SECURE COMMUNIQUE,COMMENCEZ SECURE COMMUNIQUE
Black Market,Marché noir
Bonus reward for those that complete the level.,Bonus de récompense pour ceux qui terminent le niveau.
Bot,Bot
Bot added,Bot ajouté
Bot Reward,Récompense de bot
Botnet,Botnet
Botnet Command & Control,Botnet Command & Control
Botnet Monitor,Moniteur de botnet
Botnet Scored,Botnet marqué
Botnets,Botnets
Bots,Bots
Box,Boîte
Box Difficulty,Difficulté de la boîte
Box Hints,Conseils de boîte
Box Hints Taken,Astuces de boîte prises
Box Name,Nom de la boîte
Boxes,Des boites
Bribe,Pot-de-vin
Bribe Amount,Montant du pot-de-vin
Bribe History,Histoire de corruption
Bribe Pending,Corruption en attente
Bribe Price,Prix ​​du pot-de-vin
Bribes in Progress,Pots de vin en cours
Buy,Acheter
Buy Source Code,Acheter le code source
Buy Upgrade,Acheter une mise à niveau
bytes,octets
Capture Message,Message de capture
Capture Rate,Taux de capture
Captures,Captures
Case-Sensitive,Sensible aux majuscules et minuscules
Cash Stolen,Argent volé
Categories,Catégories
Category,Catégorie
Category box belongs too?,La boîte de catégorie appartient aussi?
Category Name,Nom de catégorie
Change,Changement
Change Avatar,Changer d'avatar
Characters,Personnages
Charts,Graphiques
Chat,Bavarder
Checksum,Somme de contrôle
Choose,Choisir
Choose a name for your new team!,Choisissez un nom pour votre nouvelle équipe!
Choose Avatar,Choisissez un avatar
Classic,Classique
Clear,Réinitialiser
Clear all notifications and game history,Effacer toutes les notifications et l'historique des jeux
Clear all team / player flag captures,Effacer toutes les captures de drapeau d'équipe / de joueur
Clear all team pastebin and file shares,Effacer toutes les tâches de collage et de partage de l'équipe
Clear market items or source code purchases,Effacer les articles du marché ou les achats de code source
Click here to login,Cliquez ici pour vous identifier
Close,Fermer
Command & Control,Commande et contrôle
Complete,Achevée
Complete Bribe,Compléter le pot-de-vin
Complete this bribe?,Compléter ce pot-de-vin ?
Completed,Terminé
Completed Bribes,Pots-de-vin terminés
Completion Message,Message d'achèvement
completion of Level,achèvement du niveau
Completion Reward,Récompense d'achèvement
Configuration,Configuration
Confirm,Confirmer
Confirm Account Password,Confirmer le mot de passe du compte
Confirm New Password,Confirmer le nouveau mot de passe
Confirm Password,Confirmez le mot de passe
Content,Contenu
Content Missing,Contenu manquant
Corporation,société
Corporation box belongs too?,La boîte de corporation appartient aussi ?
Corporation Name,Nom de la société
Corporations,Entreprises
Cost,Coût
Cost to open this level and see flags,Coût pour ouvrir ce niveau et voir les drapeaux
Cracked by,Fissuré par
Create,Créer
Create Box,Créer une boîte
Create Category,Créer une catégorie
Create Corporation,Créer une société
Create Datetime Flag,Créer un indicateur de date / heure
Create File Flag,Créer un drapeau de fichier
Create Flag,Créer un drapeau
Create Game Level,Créer un niveau de jeu
Create Hint,Créer un indice
Create Message,Créer un message
Create Multiple Choice Flag,Créer un indicateur à choix multiples
Create New Paste,Créer un nouveau collage
Create Notification,Créer une notification
Create Regex Flag,Créer un drapeau regex
Create Static Flag,Créer un drapeau statique
Create Team,Créer une équipe
Created,Créé
Current algorithm,Algorithme actuel
Current Bank Account Password,Mot de passe actuel du compte bancaire
Current Bank Password,Mot de passe actuel de la banque
Current Level,Niveau actuel
Current Level,Niveau actuel
CyberChef,CyberChef
Data Points,Points de données
Date,Rendez-vous amoureux
Datetime Flag,Indicateur de date / heure
Datetime Token,Jeton de date / heure
DEBUG,DÉBOGUER
Decline,Déclin
Decline Bribe?,Refuser le pot-de-vin ?
Decline this bribe?,Refuser ce pot-de-vin ?
Declined,Diminué
Decrease All Captures,Diminuer toutes les captures
Decrease flag reward by this percent per capture.,Diminuez la récompense du drapeau de ce pourcentage par capture.
Decrease flag until it reaches this minimum value.,Diminuez l'indicateur jusqu'à ce qu'il atteigne cette valeur minimale.
Decrease Future Captures,Diminuer les captures futures
Decreases the flag value for future captures - this method rewards speed of capture.,Diminue la valeur du drapeau pour les captures futures - cette méthode récompense la vitesse de capture.
Decreases the flag value for past and future team captures - this method rewards difficulty.,Diminue la valeur du drapeau pour les captures d'équipe passées et futures - cette méthode récompense la difficulté.
deduct on & after,déduire sur et après
defaults to,par défaut à
Delete,Effacer
Delete Box,Supprimer la boîte
Delete Category,Supprimer la catégorie
Delete Corporation,Supprimer la société
Delete File Upload,Supprimer le téléchargement de fichier
Delete Flag,Supprimer le drapeau
Delete Game Level,Supprimer le niveau de jeu
Delete Hint,Supprimer un indice
Delete IP Address,Supprimer l'adresse IP
Delete Player,Supprimer le lecteur
Delete Source Code,Supprimer le code source
Delete Team,Supprimer l'équipe
Delete User,Supprimer l'utilisateur
Dependent Flag,Drapeau dépendant
Description,La description
DESCRIPTION,LA DESCRIPTION
Details,Détails
Difficulty,Difficulté
Difficulty Rating,Niveau de difficulté
Disable,Désactiver
Disabling this option will skip the storyline and give the player an instant capture message.,"Si vous désactivez cette option, l'historique sera ignoré et le joueur recevra un message de capture instantanée."
Display Hints Taken,Afficher les astuces prises
Do not delete or modify community flags unless instructed. Do not attack other players unless outlined in the game goals.,"Ne supprimez ni ne modifiez les drapeaux de communauté, à moins d'y être invité. Ne pas attaquer les autres joueurs à moins d’être indiqué dans les objectifs du jeu."
Download,Télécharger
Download File,Télécharger un fichier
Download the command line botnet monitor,Télécharger le moniteur de botnet en ligne de commande
Dynamic Decay Type,Type de décroissance dynamique
Dynamic Scoring,Notation dynamique
Each flag has a submit.  The player will choose the flag they intend to capture.,Chaque drapeau a une soumission. Le joueur choisira le drapeau qu'il a l'intention de capturer.
"Each player will target challenges of varying difficulty and sophistication, attempting to collect flags and win glory.  Good luck!","Chaque joueur ciblera des défis de difficulté et de sophistication variables, en essayant de collecter des drapeaux et de remporter la gloire. Bonne chance!"
Edit,modifier
Edit Access,Modifier l'accès
Edit Account,Modifier le compte
Edit Box,Zone d'édition
Edit Category,Modifier la catégorie
Edit Corporation,Edit Corporation
Edit Flag,Editer le drapeau
Edit Flag,Editer le drapeau
Edit Game Level,Modifier le niveau de jeu
Edit Hint,Modifier l'indice
Edit Level,Niveau d'édition
Edit Market Item,Modifier un élément de marché
Edit Player,Editer le joueur
Edit Team,Edit Team
Edit User,Modifier l'utilisateur
Email,Email
EMPTY,VIDE
Enable,Activer
"Enabling this feature will allow players to create their own teams during registration.  If this option is disabled, the admin must create teams for players to join.","L'activation de cette fonctionnalité permettra aux joueurs de créer leurs propres équipes lors de l'inscription. Si cette option est désactivée, l’administrateur devra créer des équipes que les joueurs pourront rejoindre."
Enabling this feature will allow players to share code (pastebin) and files in-game.  Disabling this feature will remove these options from the Tools Menu.,Activer cette fonctionnalité permettra aux joueurs de partager du code (pastebin) et des fichiers dans le jeu. La désactivation de cette fonctionnalité supprimera ces options du menu Outils.
"Enabling this feature will allow teams to purchase upgrades, such as the Federal Reserve, Source Code Market, or SWAT.","L'activation de cette fonctionnalité permettra aux équipes d'acheter des mises à niveau, telles que la Réserve fédérale, le marché du code source ou le SWAT."
"Enabling this feature will allow the game to display flag or box capture messages that may be added. By default, the game follows the story line of Morris, an employer that assigns missions.","L'activation de cette fonctionnalité permettra au jeu d'afficher les messages de capture de drapeau ou de boîte pouvant être ajoutés. Par défaut, le jeu suit le scénario de Morris, un employeur qui attribue des missions."
"Enabling this feature will apply a penalty for incorrect capture attempts.  The penalty is an instant deduction from the score, not a decrease in the flag value.","L'activation de cette fonctionnalité entraînera une pénalité pour les tentatives de capture incorrectes. La pénalité est une déduction instantanée du score, pas une diminution de la valeur du drapeau."
"Enabling this feature will decrease the reward for a flag based on the number of captures.  If this option is disabled, the flag value remains consistent as other players capture it.","L'activation de cette fonctionnalité réduira la récompense d'un indicateur en fonction du nombre de captures. Si cette option est désactivée, la valeur du drapeau reste cohérente à mesure que les autres joueurs le capturent."
Enabling this feature will display the number of hints taken on the scoreboard by a team or player.  Useful when hints are free.  A lower hint count is used for sorting when scores or flags are equal.  Disabling this option will remove the hint count from the scoreboard.,Activer cette fonctionnalité affichera le nombre de conseils pris sur le tableau de bord par une équipe ou un joueur. Utile quand les indices sont gratuits. Un nombre d'indices inférieur est utilisé pour le tri lorsque les scores ou les drapeaux sont égaux. La désactivation de cette option supprimera le nombre d'indices du tableau de bord.
"Enabling this feature will display the player MVP scoreboard.  Any player that has contributed points to the team will be displayed.  If this option is disabled, the MVP Scoreboard will be hidden.","Activer cette fonctionnalité affichera le tableau de bord du joueur MVP. Tout joueur ayant apporté des points à l’équipe sera affiché. Si cette option est désactivée, le tableau de résultats MVP sera masqué."
Enabling this feature will require players to provide a valid registration token in order to create a new account.  Registration tokens are created in the admin interface.,"Pour activer cette fonctionnalité, les joueurs devront fournir un jeton d'enregistrement valide afin de créer un nouveau compte. Les jetons d'inscription sont créés dans l'interface d'administration."
Enabling this feature will require players to provide an email address in order to create a new account.,Activer cette fonctionnalité obligera les joueurs à fournir une adresse email pour créer un nouveau compte.
Enabling this feature will send flag and level unlock notifications to all players in the game.  Disabling this option will limit those notifications to team members.,L'activation de cette fonctionnalité enverra des notifications de déverrouillage de drapeau et de niveau à tous les joueurs du jeu. Désactiver cette option limitera ces notifications aux membres de l'équipe.
"Enabling this feature will set the game and scoreboard up for team competitive play.  If this option is disabled, the game is set up for individual competitive play.","L'activation de cette fonctionnalité configurera le jeu et le tableau de bord pour un jeu compétitif en équipe. Si cette option est désactivée, le jeu est configuré pour le jeu individuel en compétition."
"Enabling this feature will set the game to use a money based scoring system.  If this option is disabled, the game uses a points based scoring system.","En activant cette fonctionnalité, le jeu utilisera un système de pointage basé sur l'argent. Si cette option est désactivée, le jeu utilise un système de pointage."
"Enabling this option will set the token to be case sensitive.  If this option is disabled, the answer token is case-insensitive.","Si vous activez cette option, le jeton sera sensible à la casse. Si cette option est désactivée, le jeton de réponse respecte la casse."
"Enabling this option will set the token to be case senstive.  If this option is disabled, the answer token is case-insenstive.","Si vous activez cette option, le jeton sera sensible à la casse. Si cette option est désactivée, le jeton de réponse est insensible à la casse."
Enabling this setting activates the botnet features.  Teams can run their bot executables on boxes they pwn and are paid for each bot over time.,L'activation de ce paramètre active les fonctionnalités du botnet. Les équipes peuvent exécuter leurs exécutables de bot sur des boîtes qu'elles sont pwn et sont payées pour chaque bot au fil du temps.
END SECURE COMMUNIQUE,FIN SECURE COMMUNIQUE
Enter a complex password of,Entrez un mot de passe complexe de
Enter a Matching Flag,Entrez un drapeau correspondant
Enter Choice,Entrez le choix
Enter the same password as before,Entrez le même mot de passe qu'avant
ERROR,ERREUR
Expire,Expirer
Export Game Objects,Exporter des objets du jeu
Export of gameplay settings does not include the entire server and database configuration.,L'exportation des paramètres de jeu n'inclut pas la configuration complète du serveur et de la base de données.
Export XML,Export XML
Export XML,Export XML
Failed Attempts,Tentatives infructueuses
Failed Logins,Échec des connexions
Failure has a cost. Be careful as penalties are applied when incorrect answers are submitted.,L'échec a un coût. Faites attention car des pénalités sont appliquées lorsque des réponses incorrectes sont soumises.
Federal Reserve,Réserve fédérale
Federal Reserve Bank,Banque de réserve fédérale
File,Fichier
File Description,description du fichier
File Flag,Indicateur de fichier
File Name,Nom de fichier
File Share,Partage de fichiers
File Sharing,Partage de fichiers
File Size,Taille du fichier
First Login,Première connexion
Flag,Drapeau
Flag Capture,Capture de drapeau
Flag Decrease Value,Valeur de diminution du drapeau
Flag Details,Détails du drapeau
Flag File,Fichier d'indicateur
