(stop - start) * cost.,(रोक - शुरू) * लागत।
$,$
A brief description of the box,बॉक्स का एक संक्षिप्त विवरण
About,के बारे में
Accept,स्वीकार करना
Accept Bribe?,रिश्वत स्वीकार करें?
Accept this bribe?,इस रिश्वत को स्वीकार करो?
Accepted,स्वीकार किए जाते हैं
Accepted / In Jail,स्वीकृत / जेल में
Account Locked!,खाता बंद!
Account Password,खाता पासवर्ड
Active Bots,सक्रिय बॉट
Add,जोड़ना
Add,जोड़ना
add,जोड़ना
Add a Category for Boxes.,बक्से के लिए एक श्रेणी जोड़ें।
Add Flags,झंडे जोड़ें
Add Hint,संकेत जोड़ें
Add IP address,IP पता जोड़ें
Add IP Address,IP पता जोड़ें
add some,कुछ जोड़े
Add Source Code,स्रोत कोड जोड़ें
Add Source Code to Market,बाजार में स्रोत कोड जोड़ें
Add to Market,बाजार में जोड़ें
Address,पता
Admin,व्यवस्थापक
Admin Home,व्यवस्थापक होम
Admin Message,व्यवस्थापक संदेश
Admin Notes,व्यवस्थापक नोट
Administrator Panel,प्रशासक पैनल
Admins,व्यवस्थापक
All Notifications,सभी सूचनाएं
and logos in export.,और निर्यात में लोगो।
and so on,और इसी तरह
Apply penalty on attempt,प्रयास करने पर जुर्माना लगाएं
Are you a Cylon?,क्या आप एक नायलॉन हैं?
Are You Elite,क्या आप कुलीन हैं
Are you sure you want to buy this code?,क्या आप वाकई इस कोड को खरीदना चाहते हैं?
Are you sure you want to delete this box?,क्या आप वाकई इस बॉक्स को हटाना चाहते हैं?
Are you sure you want to delete this category?,क्या आप वाकई इस श्रेणी को हटाना चाहते हैं?
Are you sure you want to delete this corporation?,क्या आप वाकई इस निगम को हटाना चाहते हैं?
Are you sure you want to delete this file?,क्या आप द्वारा इस फाइल को हटाया जाना सुनिश्चित है?
Are you sure you want to delete this flag?,क्या आप वाकई इस ध्वज को हटाना चाहते हैं?
Are you sure you want to delete this game level?,क्या आप वाकई इस गेम स्तर को हटाना चाहते हैं?
Are you sure you want to delete this hint?,क्या आप वाकई इस संकेत को हटाना चाहते हैं?
Are you sure you want to delete this IP address?,क्या आप वाकई इस IP पते को हटाना चाहते हैं?
Are you sure you want to delete this source code?,क्या आप वाकई इस स्रोत कोड को हटाना चाहते हैं?
Are you sure you want to delete this user?,क्या आप वाकई इस उपयोगकर्ता को हटाना चाहते हैं?
Are you sure you want to delete?,क्या आप पक्का इसे हटाना चाहते हैं?
Arrest Player,गिरफ्तारी खिलाड़ी
attempt,प्रयास
attempt and continue until the,प्रयास करें और जारी रखें
Attempts,प्रयास
Authenticate,प्रमाणित करें
Authentication Failure,प्रमाणीकरण विफलता
Authentication Required,प्रमाणीकरण आवश्यक
Automatic Ban,स्वचालित प्रतिबंध
Avatar,अवतार
Backup/Restore,बैकअप बहाल
Ban IP Address,आईपी ​​एड्रेस को बैन करें
Bank Account,बैंक खाता
Bank Account Balance,बैंक खाता शेष
Bank Hash Algorithm,बैंक हैश एल्गोरिथम
Bank Password,बैंक का पासवर्ड
Bank Password Hash,बैंक पासवर्ड हैश
Bank Password Length,बैंक पासवर्ड लंबाई
Banking System,बैंकिंग सिस्टम
Banned IPs,प्रतिबंधित आईपी
BEGIN SECURE COMMUNIQUE,BEGIN SECURE COMMUNIQUE
Black Market,काला बाजार
Bonus reward for those that complete the level.,स्तर पूरा करने वालों के लिए बोनस इनाम।
Bot,बॉट
Bot added,बॉट जोड़ा गया
Bot Reward,बॉट रिवार्ड
Botnet,botnet
Botnet Command & Control,बोटनेट कमांड एंड कंट्रोल
Botnet Monitor,बोटनेट मॉनिटर
Botnet Scored,बोटनेट ने स्कोर किया
Botnets,बॉटनेट्स
Bots,बॉट
Box,डिब्बा
Box Difficulty,बॉक्स में कठिनाई
Box Hints,बॉक्स संकेत
Box Hints Taken,बॉक्स संकेत लिया
Box Name,बॉक्स का नाम
Boxes,बक्से
Bribe,घूस
Bribe Amount,रिश्वत राशि
Bribe History,रिश्वत का इतिहास
Bribe Pending,रिश्वत लंबित है
Bribe Price,रिश्वत की कीमत
Bribes in Progress,प्रगति में रिश्वत
Buy,खरीदें
Buy Source Code,सोर्स कोड खरीदें
Buy Upgrade,अपग्रेड खरीदें
bytes,बाइट्स
Capture Message,संदेश पर कब्जा
Capture Rate,कब्जा दर
Captures,कैप्चर
Case-Sensitive,अक्षर संवेदनशील
Cash Stolen,नकद चोरी
Categories,श्रेणियाँ
Category,वर्ग
Category box belongs too?,श्रेणी बॉक्स भी है?
Category Name,श्रेणी नाम
Change,परिवर्तन
Change Avatar,अवतार परिवर्तन
Characters,वर्ण
Charts,चार्ट
Chat,बातचीत
Checksum,checksum
Choose,चुनें
Choose a name for your new team!,अपनी नई टीम के लिए एक नाम चुनें!
Choose Avatar,अवतार चुनें
Classic,क्लासिक
Clear,स्पष्ट
Clear all notifications and game history,सभी सूचनाएं और गेम इतिहास साफ़ करें
Clear all team / player flag captures,सभी टीम / खिलाड़ी ध्वज कैप्चर साफ़ करें
Clear all team pastebin and file shares,सभी टीम pastebin और फ़ाइल शेयर साफ़ करें
Clear market items or source code purchases,स्पष्ट बाजार की वस्तुएं या स्रोत कोड खरीद
Click here to login,लॉग इन करने के लिए यहां क्लिक करें
Close,बंद करे
Command & Control,कमान और नियंत्रण
Complete,पूर्ण
Complete Bribe,पूरी रिश्वत
Complete this bribe?,इस रिश्वत को पूरा करें?
Completed,पूरा कर लिया है
Completed Bribes,रिश्वत पूरी की
Completion Message,पूर्णता संदेश
completion of Level,स्तर का पूरा होना
Completion Reward,पूरा करने का इनाम
Configuration,विन्यास
Confirm,की पुष्टि करें
Confirm Account Password,खाता पासवर्ड की पुष्टि करें
Confirm New Password,नए पासवर्ड की पुष्टि करें
Confirm Password,पासवर्ड की पुष्टि कीजिये
Content,सामग्री
Content Missing,सामग्री गुम है
