(stop - start) * cost.,（停止-開始）*コスト。
$,$
A brief description of the box,ボックスの簡単な説明
About,約
Accept,受け入れる
Accept Bribe?,賄Acceptを受け入れますか？
Accept this bribe?,この賄beを受け入れますか？
Accepted,受け入れられた
Accepted / In Jail,受理/刑務所内
Account Locked!,アカウントがロックされました！
Account Password,アカウントパスワード
Active Bots,アクティブボット
Add,追加する
Add,追加する
add,加える
Add a Category for Boxes.,ボックスのカテゴリを追加します。
Add Flags,フラグを追加
Add Hint,ヒントを追加
Add IP address,IPアドレスを追加
Add IP Address,IPアドレスを追加
add some,いくつか追加
Add Source Code,ソースコードを追加
Add Source Code to Market,ソースコードを市場に追加する
Add to Market,マーケットに追加
Address,住所
Admin,管理者
Admin Home,管理者ホーム
Admin Message,管理者メッセージ
Admin Notes,管理者メモ
Administrator Panel,管理者パネル
Admins,管理者
All Notifications,すべての通知
and logos in export.,およびエクスポートのロゴ。
and so on,等々
Apply penalty on attempt,試行時にペナルティを適用する
Are you a Cylon?,あなたはサイロンですか？
Are You Elite,あなたはエリートですか
Are you sure you want to buy this code?,このコードを購入してもよろしいですか？
Are you sure you want to delete this box?,このボックスを削除してもよろしいですか？
Are you sure you want to delete this category?,このカテゴリを削除してもよろしいですか？
Are you sure you want to delete this corporation?,この法人を削除してもよろしいですか？
Are you sure you want to delete this file?,このファイルを削除してもよろしいですか？
Are you sure you want to delete this flag?,このフラグを削除してもよろしいですか？
Are you sure you want to delete this game level?,このゲームレベルを削除してもよろしいですか？
Are you sure you want to delete this hint?,このヒントを削除してもよろしいですか？
Are you sure you want to delete this IP address?,このIPアドレスを削除してもよろしいですか？
Are you sure you want to delete this source code?,このソースコードを削除してもよろしいですか？
Are you sure you want to delete this user?,このユーザーを削除してもよろしいですか？
Are you sure you want to delete?,消去してもよろしいですか？
Arrest Player,逮捕者
attempt,試みる
attempt and continue until the,試行し、
Attempts,試み
Authenticate,認証する
Authentication Failure,認証失敗
Authentication Required,認証が必要
Automatic Ban,自動禁止
Avatar,アバター
Backup/Restore,復元する
Ban IP Address,IPアドレスの禁止
Bank Account,銀行口座
Bank Account Balance,銀行口座残高
Bank Hash Algorithm,バンクハッシュアルゴリズム
Bank Password,銀行パスワード
Bank Password Hash,銀行パスワードハッシュ
Bank Password Length,銀行パスワードの長さ
Banking System,銀行システム
Banned IPs,禁止されたIP
BEGIN SECURE COMMUNIQUE,セキュアコミュニケ
Black Market,ブラックマーケット
Bonus reward for those that complete the level.,レベルを完了した人に対するボーナス報酬。
Bot,ボット
Bot added,ボットが追加されました
Bot Reward,ボット報酬
Botnet,ボットネット
Botnet Command & Control,ボットネットコマンド＆コントロール
Botnet Monitor,ボットネットモニター
Botnet Scored,採点されたボットネット
Botnets,ボットネット
Bots,ボット
Box,ボックス
Box Difficulty,ボックスの難易度
Box Hints,ボックスヒント
Box Hints Taken,撮影されたボックスのヒント
Box Name,ボックス名
Boxes,箱
Bribe,賄賂
Bribe Amount,賄Bri額
Bribe History,賄Briの歴史
Bribe Pending,賄Bri保留
Bribe Price,賄Priceの価格
Bribes in Progress,進行中の賄bes
Buy,購入
Buy Source Code,ソースコードを購入
Buy Upgrade,アップグレードを購入
bytes,バイト
Capture Message,メッセージをキャプチャする
Capture Rate,キャプチャ率
Captures,キャプチャ
Case-Sensitive,大文字と小文字を区別
Cash Stolen,盗まれた現金
Categories,カテゴリー
Category,カテゴリー
Category box belongs too?,カテゴリーボックスも属しますか？
Category Name,種別名
Change,変化する
Change Avatar,アバターを変更する
Characters,キャラクター
Charts,チャート
Chat,チャット
Checksum,チェックサム
Choose,選ぶ
Choose a name for your new team!,新しいチームの名前を選択してください！
Choose Avatar,アバターを選択
Classic,クラシック
Clear,クリア
Clear all notifications and game history,すべての通知とゲーム履歴を消去します
Clear all team / player flag captures,すべてのチーム/プレイヤーフラグキャプチャをクリアする
Clear all team pastebin and file shares,すべてのチームのペーストビンとファイル共有をクリアします
Clear market items or source code purchases,クリアな市場アイテムまたはソースコードの購入
Click here to login,ここをクリックしてログイン
Close,閉じる
Command & Control,コマンド＆コントロール
Complete,コンプリート
Complete Bribe,完全な賄be
Complete this bribe?,この賄beを完了しますか？
Completed,完成しました
Completed Bribes,完了した賄bes
Completion Message,完了メッセージ
completion of Level,レベルの完了
Completion Reward,完了報酬
Configuration,構成
Confirm,確認する
Confirm Account Password,アカウントパスワードの確認
Confirm New Password,新しいパスワードを確認
Confirm Password,パスワードを認証する
Content,コンテンツ
Content Missing,コンテンツがありません
Corporation,株式会社
Corporation box belongs too?,株式会社ボックスも所属していますか？
Corporation Name,法人名
Corporations,法人
Cost,コスト
Cost to open this level and see flags,このレベルを開いてフラグを表示するためのコスト
Cracked by,ひび割れ
Create,作成する
Create Box,ボックスを作成
Create Category,カテゴリーを作成
Create Corporation,株式会社クリエイト
Create Datetime Flag,日時フラグを作成
Create File Flag,ファイルフラグを作成
Create Flag,フラグを作成
Create Game Level,ゲームレベルを作成する
Create Hint,ヒントを作成する
Create Message,メッセージを作成
Create Multiple Choice Flag,複数選択フラグを作成
Create New Paste,新しい貼り付けを作成
Create Notification,通知を作成
Create Regex Flag,正規表現フラグを作成
Create Static Flag,静的フラグを作成
Create Team,チームを作成
Created,作成した
Current algorithm,現在のアルゴリズム
Current Bank Account Password,現在の銀行口座のパスワード
Current Bank Password,現在の銀行パスワード
