(stop - start) * cost.,(중지-시작) * 비용.
$,$
A brief description of the box,박스에 대한 간단한 설명
About,정보
Accept,수락
Accept Bribe?,뇌물을 받으시겠습니까?
Accept this bribe?,이 뇌물을 받으시겠습니까?
Accepted,수락
Accepted / In Jail,수락 / 감옥에서
Account Locked!,계정 잠김!
Account Password,계정 비밀번호
Active Bots,봇 활성화
Add,추가
Add,추가
add,추가
Add a Category for Boxes.,박스 카테고리를 추가합니다.
Add Flags,플래그 추가
Add Hint,힌트 추가
Add IP address,IP 주소 추가
Add IP Address,IP 주소 추가
add some,약간 추가
Add Source Code,소스 코드 추가
Add Source Code to Market,시장에 소스 코드 추가
Add to Market,시장에 추가
Address,주소
Admin,관리자
Admin Home,관리자 페이지
Admin Message,관리자 메시지
Admin Notes,관리자 노트
Administrator Panel,관리자 패널
Admins,관리자
All Notifications,모든 알림
and logos in export.,로고 추출.
and so on,등등
Apply penalty on attempt,시도시 페널티 적용
Are you a Cylon?,Cylon입니까?
Are You Elite,당신은 엘리트입니까
Are you sure you want to buy this code?,이 코드를 구매 하시겠습니까?
Are you sure you want to delete this box?,이 박스를 삭제 하시겠습니까?
Are you sure you want to delete this category?,이 카테고리를 삭제 하시겠습니까?
Are you sure you want to delete this corporation?,이 회사를 삭제 하시겠습니까?
Are you sure you want to delete this file?,이 파일을 삭제 하시겠습니까?
Are you sure you want to delete this flag?,이 플래그를 삭제 하시겠습니까?
Are you sure you want to delete this game level?,이 게임 레벨을 삭제 하시겠습니까?
Are you sure you want to delete this hint?,이 힌트를 삭제 하시겠습니까?
Are you sure you want to delete this IP address?,이 IP 주소를 삭제 하시겠습니까?
Are you sure you want to delete this source code?,이 소스 코드를 삭제 하시겠습니까?
Are you sure you want to delete this user?,이 사용자를 삭제 하시겠습니까?
Are you sure you want to delete?,삭제 하시겠습니까?
Arrest Player,플레이어 체포
attempt,시도
attempt and continue until the,때까지 계속 시도
Attempts,시도
Authenticate,인증
Authentication Failure,인증 실패
Authentication Required,인증 필요
Automatic Ban,자동 차단
Avatar,아바타
Backup/Restore,백업 / 복원
Ban IP Address,IP 주소 차단
Bank Account,은행 계좌
Bank Account Balance,은행 계좌 잔고
Bank Hash Algorithm,은행 해시 알고리즘
Bank Password,은행 비밀번호
Bank Password Hash,은행 비밀번호 해시
Bank Password Length,은행 비밀번호 길이
Banking System,금융 시스템
Banned IPs,차단된 IP
BEGIN SECURE COMMUNIQUE,안전한 보안 커뮤니케이션
Black Market,암시장
Bonus reward for those that complete the level.,레벨을 완료 한 사람들에게 보너스 보상.
Bot,봇
Bot added,봇 추가
Bot Reward,봇 보상
Botnet,봇넷
Botnet Command & Control,봇넷 명령 및 제어
Botnet Monitor,봇넷 모니터
Botnet Scored,봇넷 득점
Botnets,봇넷
Bots,봇
Box,박스
Box Difficulty,박스 난이도
Box Hints,박스 힌트
Box Hints Taken,박스 힌트 가져감
Box Name,박스 이름
Boxes,박스
Bribe,뇌물
Bribe Amount,뇌물 금액
Bribe History,뇌물 히스토리
Bribe Pending,뇌물 보류
Bribe Price,뇌물 가격
Bribes in Progress,진행중인 뇌물
Buy,구매
Buy Source Code,소스 코드 구매
Buy Upgrade,업그레이드 구매
bytes,바이트
Capture Message,메시지 캡처
Capture Rate,속도 캡처
Captures,캡처
Case-Sensitive,대소문자 구분
Cash Stolen,현금 도난
Categories,카테고리
Category,카테고리
Category box belongs too?,카테고리 박스는 어디에 속해 있습니까?
Category Name,카테고리 이름
Change,변경
Change Avatar,아바타 변경
Characters,글자수
Charts,차트
Chat,챗
Checksum,체크섬
Choose,선택
Choose a name for your new team!,새 팀의 이름을 선택하십시오!
Choose Avatar,아바타를 선택하십시오
Classic,클래식
Clear,삭제
