(stop - start) * cost.,(parar - começar) * custo.
$,$
A brief description of the box,Uma breve descrição da caixa
About,Sobre
Accept,Aceitar
Accept Bribe?,Aceitar suborno?
Accept this bribe?,Aceite este suborno?
Accepted,Aceitaram
Accepted / In Jail,Aceito / na cadeia
Account Locked!,Conta bloqueada!
Account Password,Senha da conta
Active Bots,Bots Ativos
Add,Adicionar
Add,Adicionar
add,adicionar
Add a Category for Boxes.,Adicione uma categoria para caixas.
Add Flags,Adicionar sinalizadores
Add Hint,Adicionar dica
Add IP address,Adicione o endereço IP
Add IP Address,Adicionar endereço IP
add some,adicione alguns
Add Source Code,Adicionar código fonte
Add Source Code to Market,Adicionar código-fonte ao mercado
Add to Market,Adicionar ao mercado
Address,Endereço
Admin,Admin
Admin Home,Página inicial do administrador
Admin Message,Mensagem Administrativa
Admin Notes,Notas do administrador
Administrator Panel,Painel Administrador
Admins,Admins
All Notifications,Todas as notificações
and logos in export.,e logotipos na exportação.
and so on,e assim por diante
Apply penalty on attempt,Aplicar penalidade na tentativa
Are you a Cylon?,Você é um Cylon?
Are You Elite,Você é Elite?
Are you sure you want to buy this code?,Tem certeza de que deseja comprar este código?
Are you sure you want to delete this box?,Tem certeza de que deseja excluir esta caixa?
Are you sure you want to delete this category?,Tem certeza de que deseja excluir esta categoria?
Are you sure you want to delete this corporation?,Tem certeza de que deseja excluir esta corporação?
Are you sure you want to delete this file?,Tem certeza de que deseja excluir este arquivo?
Are you sure you want to delete this flag?,Tem certeza de que deseja excluir este sinalizador?
Are you sure you want to delete this game level?,Tem certeza de que deseja excluir este nível de jogo?
Are you sure you want to delete this hint?,Tem certeza de que deseja excluir esta dica?
Are you sure you want to delete this IP address?,Tem certeza de que deseja excluir este endereço IP?
Are you sure you want to delete this source code?,Tem certeza de que deseja excluir este código-fonte?
Are you sure you want to delete this user?,Tem certeza de que deseja excluir este usuário?
Are you sure you want to delete?,Tem certeza de que deseja excluir?
Arrest Player,Jogador de detenção
attempt,tentativa
attempt and continue until the,tentar e continuar até o
Attempts,Tentativas
Authenticate,Autenticar
Authentication Failure,Falha de autenticação
Authentication Required,Autentificação requerida
Automatic Ban,Proibição automática
Avatar,Avatar
Backup/Restore,Restauração de backup
Ban IP Address,Banir endereço IP
Bank Account,Conta bancária
Bank Account Balance,Saldo da conta bancária
Bank Hash Algorithm,Algoritmo Hash Bank
Bank Password,Senha do banco
Bank Password Hash,Hash de senha do banco
Bank Password Length,Comprimento da Senha do Banco
