(stop - start) * cost.,(стоп - старт) * стоимость.,
$,$,
A brief description of the box,Краткое описание коробки,
About,Около,
Accept,принимать,
Accept Bribe?,Принять взятку?,
Accept this bribe?,Принять эту взятку?,
Accepted,Принято,
Accepted / In Jail,Принят / в тюрьме,
Account Locked!,Учетная запись заблокирована!,
Account Password,Пароль от аккаунта,
Active Bots,Активные Боты,
Add,добавлять,
Add,добавлять,
add,добавлять,
Add a Category for Boxes.,Добавить категорию для ящиков.,
Add Flags,Добавить флаги,
Add Hint,Добавить подсказку,
Add IP address,Добавить IP-адрес,
Add IP Address,Добавить IP-адрес,
add some,Добавь немного,
Add Source Code,Добавить исходный код,
Add Source Code to Market,Добавить исходный код на рынок,
Add to Market,Добавить в Маркет,
Address,Адрес,
Admin,Администратор,
Admin Home,Admin Home,
Admin Message,Сообщение администратора,
Admin Notes,Замечания администратора,
Administrator Panel,Панель администратора,
Admins,Админы,
All Notifications,Все уведомления,
and logos in export.,и логотипы в экспорте.,
and so on,и так далее,
Apply penalty on attempt,Применить штраф при попытке,
Are you a Cylon?,Вы Сайлон?,
Are You Elite,Вы элита?,
Are you sure you want to buy this code?,"Вы уверены, что хотите купить этот код?",
Are you sure you want to delete this box?,"Вы уверены, что хотите удалить это поле?",
Are you sure you want to delete this category?,"Вы уверены, что хотите удалить эту категорию?",
Are you sure you want to delete this corporation?,"Вы уверены, что хотите удалить эту корпорацию?",
Are you sure you want to delete this file?,"Вы уверены, что хотите удалить этот файл?",
Are you sure you want to delete this flag?,"Вы уверены, что хотите удалить этот флаг?",
Are you sure you want to delete this game level?,"Вы уверены, что хотите удалить этот игровой уровень?",
Are you sure you want to delete this hint?,"Вы уверены, что хотите удалить эту подсказку?",
Are you sure you want to delete this IP address?,"Вы уверены, что хотите удалить этот IP-адрес?",
Are you sure you want to delete this source code?,"Вы уверены, что хотите удалить этот исходный код?",
Are you sure you want to delete this user?,"Вы уверены, что хотите удалить этого пользователя?",
Are you sure you want to delete?,"Вы уверены, что хотите удалить?",
Arrest Player,Арестовать игрока,
attempt,попытка,
attempt and continue until the,"попытаться и продолжить, пока",
Attempts,попытки,
Authenticate,проверять подлинность,
Authentication Failure,Ошибка аутентификации,
Authentication Required,Требуется авторизация,
Automatic Ban,Автоматический бан,
Avatar,Аватар,
Backup/Restore,Восстановления резервной копии,
Ban IP Address,Запретить IP-адрес,
Bank Account,Банковский счет,
Bank Account Balance,Баланс банковского счета,
Bank Hash Algorithm,Банковский хэш-алгоритм,
Bank Password,Пароль банка,
Bank Password Hash,Хэш банковского пароля,
Bank Password Length,Длина банковского пароля,
Banking System,Банковская система,
