(stop - start) * cost.,（停止 - 开始）*费用。
$,$
A brief description of the box,盒子的简要说明
About,关于
Accept,接受
Accept Bribe?,接受贿赂？
Accept this bribe?,接受这个贿赂？
Accepted,公认
Accepted / In Jail,接受/入狱
Account Locked!,帐户被锁定！
Account Password,户口密码
Active Bots,主动机器人
Add,加
Add,加
add,加
Add a Category for Boxes.,为箱子添加类别。
Add Flags,添加标志
Add Hint,添加提示
Add IP address,添加IP地址
Add IP Address,添加IP地址
add some,添加一些
Add Source Code,添加源代码
Add Source Code to Market,将源代码添加到市场
Add to Market,添加到市场
Address,地址
Admin,管理员
Admin Home,管理员主页
Admin Message,管理员消息
Administrator Panel,管理员面板
Admins,管理员
All Notifications,所有通知
and so on,等等
Apply penalty on attempt,在尝试时应用惩罚
Are you a Cylon?,你是赛隆人吗？
Are You Elite,你是精英吗？
Are you sure you want to buy this code?,您确定要购买此代码吗？
Are you sure you want to delete this box?,您确定要删除此框吗？
Are you sure you want to delete this category?,您确定要删除此类别吗？
Are you sure you want to delete this corporation?,您确定要删除该公司吗？
Are you sure you want to delete this file?,您确定要删除此文件吗？
Are you sure you want to delete this flag?,您确定要删除此标志吗？
Are you sure you want to delete this game level?,您确定要删除此游戏级别吗？
Are you sure you want to delete this hint?,您确定要删除此提示吗？
Are you sure you want to delete this IP address?,您确定要删除此IP地址吗？
Are you sure you want to delete this source code?,您确定要删除此源代码吗？
Are you sure you want to delete this user?,您确定要删除此用户吗？
Are you sure you want to delete?,你确定你要删除？
Arrest Player,逮捕球员
attempt,尝试
attempt and continue until the,尝试并继续直到
Attempts,尝试
Authenticate,认证
Authentication Failure,验证失败
Authentication Required,需要验证
Avatar,阿凡达
Backup/Restore,备份/恢复
Ban IP Address,禁止IP地址
Bank Account,银行账户
Bank Account Balance,银行账户余额
Bank Hash Algorithm,银行哈希算法
Bank Password,银行密码
Bank Password Length,银行密码长度
Banking System,银行系统
Banned IPs,禁止的IP
BEGIN SECURE COMMUNIQUE,开始安全的通信
Black Market,黑市
Bonus reward for those that complete the level.,那些完成关卡的奖励奖励。
Bot,博特
Bot added,博特补充说
Bot Reward,Bot奖励
Botnet,僵尸网络
Botnet Command & Control,僵尸网络命令与控制
Botnet Monitor,僵尸网络监视器
Botnet Scored,僵尸网络得分
Botnets,僵尸网络
Bots,机器人
Box,框
Box Difficulty,盒子难度
Box Hints,方块提示
Box Hints Taken,盒子提示采取
Box Name,盒子名称
Boxes,盒
Bribe,贿赂
Bribe Amount,贿赂金额
Bribe History,贿赂历史
Bribe Pending,贿赂待定
Bribe Price,贿赂价格
Bribes in Progress,贿赂正在进行中
Buy,购买
Buy Source Code,购买源代码
Buy Upgrade,购买升级
bytes,字节
Capture Message,捕获消息
Capture Rate,捕获率
Captures,捕获
Case-Sensitive,区分大小写
Cash Stolen,现金被盗
Categories,分类
Category,类别
Category box belongs too?,分类盒也属于？
Category Name,分类名称
Change,更改
Change Avatar,改变头像
Characters,人物
Charts,图表
Chat,聊
Checksum,校验
Choose,选择
Choose a name for your new team!,为新团队选择一个名称！
Choose Avatar,选择头像
Classic,经典
Clear,明确
Clear all notifications and game history,清除所有通知和游戏历史记录
Clear all team / player flag captures,清除所有团队/玩家旗帜捕获
Clear all team pastebin and file shares,清除所有团队pastebin和文件共享
Clear market items or source code purchases,清除市场项目或源代码购买
Click here to login,点击此处登录
Close,关
Command & Control,指挥与控制
Complete,完成
Complete Bribe,完成贿赂
Complete this bribe?,完成这个贿赂？
Completed,已完成
Completed Bribes,完成贿赂
Completion Message,完成消息
completion of Level,完成等级
Completion Reward,完成奖励
Configuration,组态
Confirm,确认
Confirm Account Password,确认帐户密码
Confirm New Password,确认新密码
Confirm Password,确认密码
Content,内容
Content Missing,内容缺失
Corporation,公司
Corporation box belongs too?,公司箱子也属于？
Corporation Name,公司名称
Corporations,企业
Cost,成本
Cost to open this level and see flags,打开此级别并查看标记的成本
Cracked by,破解了
Create,创建
Create Box,创建框
Create Category,创建类别
Create Corporation,创建公司
Create Datetime Flag,创建日期时间标志
Create File Flag,创建文件标志
Create Flag,创建标志
Create Game Level,创建游戏关卡
Create Hint,创建提示
Create Message,创建消息
Create Multiple Choice Flag,创建多选标志
Create New Paste,创建新粘贴
Create Notification,创建通知
Create Regex Flag,创建正则表达式标志
Create Static Flag,创建静态标志
Create Team,创建团队
Created,创建
Current algorithm,当前的算法
Current Bank Account Password,当前银行帐户密码
Current Bank Password,当前银行密码
Current Level,当前水平
Current Level,当前水平
CyberChef,Cyber​​Chef
Data Points,数据点
Date,日期
Datetime Flag,日期时间标志
Datetime Token,日期时间令牌
DEBUG,DEBUG
Decline,下降
Decline Bribe?,拒绝贿赂？
Decline this bribe?,拒绝这种贿赂？
Declined,下降
Decrease flag reward by this percent per capture.,每次捕获的百分比减少旗帜奖励。
deduct on & after,扣除和之后
defaults to,默认为
Delete,删除
Delete Box,删除框
Delete Category,删除类别
Delete Corporation,删除公司
Delete File Upload,删除文件上传
Delete Flag,删除标志
Delete Game Level,删除游戏关卡
Delete Hint,删除提示
Delete IP Address,删除IP地址
Delete Player,删除播放器
Delete Source Code,删除源代码
Delete Team,删除团队
Delete User,删除用户
Dependent Flag,依赖旗帜
Description,描述
DESCRIPTION,描述
Details,细节
Difficulty,困难
Difficulty Rating,难度等级
Disable,禁用
Disabling this option will skip the story line and give the player an instant capture message.,禁用此选项将跳过故事情节并为播放器提供即时捕获消息。
Display Hints Taken,显示提示
Do not delete or modify community flags unless instructed. Do not attack other players unless outlined in the game goals.,除非另有说明，否则请勿删除或修改社区标志。除非在游戏目标中有所描述，否则不要攻击其他玩家。
Download,下载
Download File,下载文件
Download the command line botnet monitor,下载命令行僵尸网络监视器
Dynamic Scoring,动态评分
Each flag has a submit.  The player will choose the flag they intend to capture.,每个标志都有一个提交。玩家将选择他们想要捕获的旗帜。
"Each player will target challenges of varying difficulty and sophistication, attempting to collect flags and win glory.  Good luck!",每个玩家都将针对不同难度和复杂程度的挑战，尝试收集旗帜并赢得荣耀。祝好运！
Edit,编辑
Edit Account,编辑账户
Edit Box,编辑框
Edit Category,编辑类别
Edit Corporation,编辑公司
Edit Flag,编辑标志
Edit Flag,编辑标志
Edit Game Level,编辑游戏关卡
Edit Hint,编辑提示
Edit Level,编辑级别
Edit Market Item,编辑市场项目
Edit Player,编辑播放器
Edit Team,编辑团队
Edit User,编辑用户
Email,电子邮件
EMPTY,EMPTY
Enable,启用
"Enabling this feature will allow players to create their own teams during registration.  If this option is disabled, the admin must create teams for players to join.",启用此功能将允许玩家在注册期间创建自己的团队。如果禁用此选项，则管理员必须创建团队以供玩家加入。
Enabling this feature will allow players to share code (pastebin) and files in-game.  Disabling this feature will remove these options from the Tools Menu.,启用此功能将允许玩家在游戏中共享代码（pastebin）和文件。禁用此功能将从“工具”菜单中删除这些选项。
"Enabling this feature will allow teams to purchase upgrades, such as the Federal Reserve, Source Code Market, or SWAT.",启用此功能将允许团队购买升级，例如美联储，源代码市场或SWAT。
"Enabling this feature will allow the game to display flag or box capture messages that may be added. By default, the game follows the storyline of Morris, an employer that assigns missions.",启用此功能将允许游戏显示可能添加的标记或框捕获消息。默认情况下，游戏遵循莫里斯的故事情节，莫里斯是指派任务的雇主。
